track,artist,album,track_id
Thick Of It (feat. Trippie Redd),"KSI, Trippie Redd",Thick Of It (feat. Trippie Redd) / Low,1xmvq1fYLs9TEgikaFilGW
Wake Me Up (feat. Justice),"The Weeknd, Justice",Hurry Up Tomorrow,5673WA8EEUSPx1ir26lhGW
Cry For Me,The Weeknd,Hurry Up Tomorrow,3AWDeHLc88XogCaCnZQLVI
São Paulo (feat. Anitta),"The Weeknd, Anitta",Hurry Up Tomorrow,7DY756WOLyOz2Xnhw4EFiC
Until We're Skin & Bones,The Weeknd,Hurry Up Tomorrow,6jDGDtQPC46pFqxph3qdbD
Baptized In Fear,The Weeknd,Hurry Up Tomorrow,5rzI6Jnlhx8DgVgsOLorfW
Open Hearts,The Weeknd,Hurry Up Tomorrow,0sTBOp1hdayTjw6UOyPyi6
Opening Night,The Weeknd,Hurry Up Tomorrow,4Msr8L0gHGDsLSBlk7pSPU
"Reflections Laughing (feat. Travis Scott, Florence + The Machine)","The Weeknd, Travis Scott, Florence + The Machine",Hurry Up Tomorrow,2gyHr9WqZeMtzJOpWGuGo6
Enjoy The Show (feat. Future),"The Weeknd, Future",Hurry Up Tomorrow,637oNhilCI9UlkWkUW4Grt
Given Up On Me,The Weeknd,Hurry Up Tomorrow,0FolPJnYMo71Z7qasTuoJT
I Can't Wait To Get There,The Weeknd,Hurry Up Tomorrow,0bcZ7xN9IcjSNxLerzR2yl
Timeless (feat Playboi Carti),"The Weeknd, Playboi Carti",Hurry Up Tomorrow,0FIDCNYYjNvPVimz5icugS
Niagara Falls,The Weeknd,Hurry Up Tomorrow,2v0AG62ZHtD3I4YmTb3WYM
Take Me Back To LA,The Weeknd,Hurry Up Tomorrow,7rVmzyFA7f4rNGl9onF21E
Big Sleep (feat. Giorgio Moroder),"The Weeknd, Giorgio Moroder",Hurry Up Tomorrow,4sWQbsLLH2NEbO79DSZCL9
Give Me Mercy,The Weeknd,Hurry Up Tomorrow,0K3w6WNawZlv6Izmsrye8o
Drive,The Weeknd,Hurry Up Tomorrow,6i5fDaCzwxRrZtuvvcqoIf
The Abyss (feat. Lana Del Rey),"The Weeknd, Lana Del Rey",Hurry Up Tomorrow,5ZDKPFRZC6QlJpf8bCIXTs
Red Terror,The Weeknd,Hurry Up Tomorrow,717s9KFmHhyy5t3xkStS56
Without a Warning,The Weeknd,Hurry Up Tomorrow,6n6GfXu4i22rdsmRKe2eIn
Hurry Up Tomorrow,The Weeknd,Hurry Up Tomorrow,4TDPlp7OSOjuDU3l7PCM04
Dawn FM,The Weeknd,Dawn FM,6krYS8KtmNAYyb5uTZiYW4
Gasoline,The Weeknd,Dawn FM,3KyKxJ4P3pVCgaZwaq2rUC
How Do I Make You Love Me?,The Weeknd,Dawn FM,2Ghp894n1laIf2w98VeAOJ
Take My Breath,The Weeknd,Dawn FM,2vgUijXOTRMnWXDtvgMp2b
Sacrifice,The Weeknd,Dawn FM,1nH2PkJL1XoUq8oE6tBZoU
A Tale By Quincy,The Weeknd,Dawn FM,759ndr57jb0URg4j9YSWml
Out of Time,The Weeknd,Dawn FM,2SLwbpExuoBDZBpjfefCtV
"Here We Go… Again (feat. Tyler, the Creator)","The Weeknd, Tyler, The Creator",Dawn FM,1NhjYYcYTRywc0di98xHxf
Best Friends,The Weeknd,Dawn FM,1E5Xu8dur0fAjSP1VpVhAZ
Is There Someone Else?,The Weeknd,Dawn FM,0mL82sxCRjrs3br407IdJh
Starry Eyes,The Weeknd,Dawn FM,6zzdyvVWjGrQBraSvuqJPY
Every Angel is Terrifying,The Weeknd,Dawn FM,3vJcz8exedHCjQ9ed95NqU
Don’t Break My Heart,The Weeknd,Dawn FM,6a4GH1gljLL7VvmO9u5O92
I Heard You’re Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",Dawn FM,5XbA7TAqsD0fj0dGBrbb0D
Less Than Zero,The Weeknd,Dawn FM,2D4dV2KXDTszzJ3p3cFqhA
Phantom Regret by Jim,The Weeknd,Dawn FM,1NlK2NtpuUazpziLhnJwEV
Alone Again,The Weeknd,After Hours,6b5P51m8xx2XA6U7sdNZ5E
Too Late,The Weeknd,After Hours,2K9Ovn1o2bTGqbsABGC6m3
Hardest To Love,The Weeknd,After Hours,6kWxIqQDsKFYCJGbU4AjCX
Scared To Live,The Weeknd,After Hours,4BGZF4oLbTL0pWm7C18pbv
Snowchild,The Weeknd,After Hours,3WlbeuhfRSqU7ylK2Ui5U7
Escape From LA,The Weeknd,After Hours,1sOW4PuG5X3Ie3EXUhAopJ
Heartless,The Weeknd,After Hours,6bnF93Rx87YqUBLSgjiMU8
Faith,The Weeknd,After Hours,3orEOtd8CPL8GFlpRpKuoE
Blinding Lights,The Weeknd,After Hours,0VjIjW4GlUZAMYd2vXMi3b
In Your Eyes,The Weeknd,After Hours,7szuecWAPwGoV1e5vGu8tl
Save Your Tears,The Weeknd,After Hours,5QO79kh1waicV47BqGRL3g
Repeat After Me (Interlude),The Weeknd,After Hours,40U8d12pC5UHqmHwXjHjjl
After Hours,The Weeknd,After Hours,2p8IUWQDrpjuFltbdgLOag
Until I Bleed Out,The Weeknd,After Hours,2BcnxwxBuar5wjCaLqm5N3
Starboy,"The Weeknd, Daft Punk",Starboy,7MXVkk9YMctZqd1Srtv4MB
Party Monster,The Weeknd,Starboy,4F7A0DXBrmUAkp32uenhZt
False Alarm,The Weeknd,Starboy,4oeaIftdpT3JuZLcCkKmVE
Reminder,The Weeknd,Starboy,37F0uwRSrdzkBiuj0D5UHI
Rockin’,The Weeknd,Starboy,36YCdzT57us0LhDmCYtrNE
Secrets,The Weeknd,Starboy,00NAQYOP4AmWR549nnYJZu
True Colors,The Weeknd,Starboy,1oGdVdYjeQvojGKDddxLQQ
Stargirl Interlude,"The Weeknd, Lana Del Rey",Starboy,4EDijkJdHBZZ0GwJ12iTAj
Sidewalks,"The Weeknd, Kendrick Lamar",Starboy,4h90qkbnW1Qq6pBhoPvwko
Six Feet Under,The Weeknd,Starboy,4mU5iXHeLgbR94siF7p1sY
Love To Lay,The Weeknd,Starboy,27BgDmciSjoxTG0almHTpZ
A Lonely Night,The Weeknd,Starboy,0ifooM33X1iBxVYyOkSbXW
Attention,The Weeknd,Starboy,6pDVjCUA3B1vg9waKutAsv
Ordinary Life,The Weeknd,Starboy,15k2nBQJ0teDmPZHrOXL2N
Nothing Without You,The Weeknd,Starboy,57qiTKh8bVX0VtfUNTQqhw
All I Know,"The Weeknd, Future",Starboy,0NWqNXBJTpXbkI5rPWNy3p
Die For You,The Weeknd,Starboy,2Ch7LmS7r2Gy2kc64wv3Bz
I Feel It Coming,"The Weeknd, Daft Punk",Starboy,3dhjNA0jGA8vHBQ1VdD6vV
Life Goes On,Oliver Tree,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",0eu4C55hL6x29mmeAjytzC
